date,min,max,median,q1,q3,stdev,count
2021-01-04T00:00:00.000Z,0,4,0,0,1,0.963,986
2021-01-05T00:00:00.000Z,0,4,0,0,1,0.586,936
2021-01-06T00:00:00.000Z,0,4,1,0,2,1.215,973
2021-01-07T00:00:00.000Z,0,4,2,1,3,1.353,1017
2021-01-08T00:00:00.000Z,0,4,3,1,4,1.427,985
2021-01-09T00:00:00.000Z,1,5,4,3,4,0.704,1005
2021-01-10T00:00:00.000Z,0,3,0,0,0,0.743,1047
2021-01-11T00:00:00.000Z,0,4,0,0,0,0.935,975
2021-01-12T00:00:00.000Z,0,4,0,0,1,0.918,991
2021-01-13T00:00:00.000Z,0,8,3,0,4,1.851,985
2021-01-14T00:00:00.000Z,0,8,3,0,4,2.21,924
2021-01-15T00:00:00.000Z,0,2,0,0,0,0.25,1036
2021-01-16T00:00:00.000Z,0,4,0,0,0,0.896,929
2021-01-17T00:00:00.000Z,0,9,0,0,0,1.07,954
2021-01-18T00:00:00.000Z,0,4,2,1,2,1.235,895
2021-01-19T00:00:00.000Z,3,8,4,3,4,1.04,848
2021-01-20T00:00:00.000Z,3,21,8,4,11,4.628,954
2021-01-21T00:00:00.000Z,0,6,3,0,4,1.69,950
2021-01-22T00:00:00.000Z,0,5,0,0,1,1.143,989
2021-01-23T00:00:00.000Z,0,3,0,0,0,0.679,1014
2021-01-24T00:00:00.000Z,0,4,0,0,1,0.998,996
2021-01-25T00:00:00.000Z,0,0,0,0,0,0,955
2021-01-26T00:00:00.000Z,0,0,0,0,0,0,984
2021-01-27T00:00:00.000Z,0,4,0,0,0,0.946,938
2021-01-28T00:00:00.000Z,0,3,1,0,1,0.868,1015
2021-01-29T00:00:00.000Z,0,4,2,2,3,1.008,982
2021-01-30T00:00:00.000Z,0,8,0,0,1,1.35,997
2021-01-31T00:00:00.000Z,0,8,0,0,0,1.11,1005
2021-02-01T00:00:00.000Z,0,4,0,0,3,1.563,882
2021-02-02T00:00:00.000Z,0,4,3,0,4,1.641,896
2021-02-03T00:00:00.000Z,0,4,3,2,3,0.754,919
2021-02-04T00:00:00.000Z,0,3,0,0,0,0.569,939
2021-02-05T00:00:00.000Z,0,3,1,0,2,1.018,919
2021-02-06T00:00:00.000Z,0,0,0,0,0,0,939
2021-02-07T00:00:00.000Z,0,2,0,0,0,0.412,1021
2021-02-08T00:00:00.000Z,0,4,0,0,0,0.643,1010
2021-02-09T00:00:00.000Z,0,9,0,0,0,1.663,991
2021-02-10T00:00:00.000Z,0,7,0,0,1,1.246,972
2021-02-11T00:00:00.000Z,0,4,0,0,0,0.668,954
2021-02-12T00:00:00.000Z,0,3,0,0,0,0.511,1005
2021-02-13T00:00:00.000Z,0,4,0,0,0,0.94,1033
2021-02-14T00:00:00.000Z,0,0,0,0,0,0,979
2021-02-15T00:00:00.000Z,0,4,0,0,1,1.049,946
2021-02-16T00:00:00.000Z,0,4,1,0,2,1.152,959
2021-02-17T00:00:00.000Z,0,4,0,0,0,0.808,1012
2021-02-18T00:00:00.000Z,0,7,2,0,3,1.584,1021
2021-02-19T00:00:00.000Z,3,28,12,8,18.5,5.666,929
2021-02-20T00:00:00.000Z,0,10,3,2,4,1.519,970
2021-02-21T00:00:00.000Z,0,4,3,1,4,1.572,996
2021-02-22T00:00:00.000Z,2,7,4,3,4,0.778,932
2021-02-23T00:00:00.000Z,1,16,7,4,10,3.787,881
2021-02-24T00:00:00.000Z,0,11,4,4,8,2.608,904
2021-02-25T00:00:00.000Z,0,5,3,2,4,1.08,891
2021-02-26T00:00:00.000Z,0,4,1,0,2,1.124,920
2021-02-27T00:00:00.000Z,0,1,0,0,0,0.13,981
2021-02-28T00:00:00.000Z,0,4,0,0,0,0.964,1006
2021-03-01T00:00:00.000Z,0,3,0,0,0,0.677,959
2021-03-02T00:00:00.000Z,0,4,0,0,0,1.037,914
2021-03-03T00:00:00.000Z,0,4,0,0,1,0.974,892
2021-03-04T00:00:00.000Z,0,2,0,0,0,0.354,924
2021-03-05T00:00:00.000Z,0,4,0,0,0,0.683,992
